Index_novo,product_id,title_orig,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,tags,product_color,product_variation_inventory,countries_shipped_to,inventory_total,merchant_rating_count,merchant_rating,units_sold_EscalaFix,rating_Base1000Fix,product_color_GroupedColourFix,product_color_GroupedByImpactFix,urgency_textTierFix,badges_countFix,badge_local_productFix,badge_product_qualityFix,badge_fast_shippingFix,uses_ad_boostsFix,shipping_option_nameFix,shipping_option_priceFix,shipping_is_expressFix,product_variation_size_idFix,tagsTypesFix,tagsMaterialFix,has_urgency_bannerFix,origin_countryFix,retail_price_DifFix,retail_price_DIFP_Fix,uses_ad_boosts_Fix
11,5cac5af68de7960d89e54fe0,Women's Fashion Summer Loose Sleeveless Pockets Solid Color Maxi Dress Casual Dress Plus Size,5.79,5,1000,0,3.46,613,245,101,81,61,125,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless",grey,2,25,50,9470,3.956810982,3. Médio(1000),692,Cinzento,2. Baixo a Médio Impacto,Scarcity,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,04. PP (XXS),Vestido,"Algodão/Poliéster, Algodão/Viscose, Viscose/Poliéster, Viscose/Algodão",TRUE,CN,price_maior,-14,FALSE
12,5ec49d527d7044ccfa3f1c04,Summer Sexy Women Fashion Casual Loose Tops Casual T-Shirt Summer V-Neck Solid Color Plus Size Short Sleeve Blouse,6,8,100,1,3.31,13,3,4,3,0,3,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops",lightblue,2,40,50,3515,3.983783784,2. Baixo(100),662,Azul,3. Médio Impacto,Scarcity,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,05. P (XS),"Blusa, Camiseta, Pulôver, Camisa, Shorts, Top","Poliéster/Viscose, Algodão/Poliéster, Algodão, Poliéster/Elastano",TRUE,CN,retail_maior,33,TRUE
13,5e9da39dc737cf255eddd4bf,New Women's Summer Causal Shorts Drawstring Short Pants Loose Short Pants,1.91,6,1000,1,3.45,141,49,29,24,14,25,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal",orange,1,38,50,557,4.123877917,3. Médio(1000),690,Laranja/Amarelo,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,1,Standard Shipping,2. Barato,2. Normal,05. P (XS),"Calça, Shorts","Algodão/Poliéster, Algodão",FALSE,CN,retail_maior,214,TRUE
14,5d1db3c0e2b5cc0f74e091af,Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,5.79,42,1000,0,3.32,121,36,24,23,19,19,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless",red,50,43,50,5083,3.947471965,3. Médio(1000),664,Vermelho,4. Alto Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Colete, Blusa, Camisa, Camiseta, Regata, Top","Algodão/Poliéster, Poliéster/Viscose, Poliéster/Elastano, Viscose/Poliéster, Algodão",FALSE,CN,retail_maior,625,FALSE
15,5cc2ce18bc97595b6549fa14,2019 Summer Women's Fashion New Sleeveless Polka Dot V-neck Strap Mini Backless Casual Top Dresses,2,2,20000,1,3.65,2457,984,481,459,206,327,"Summer,Fashion,Mini,Dress,Loose,Polkas,V-neck,Tops,Women's Fashion,black,polka dot,sleeveless,backless,Casual,Women Fashion",yellow,1,36,50,55499,4.138885385,5. Muito Alto(20000),730,Laranja/Amarelo,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,06. P (S),"Vestido, Top","Poliéster/Elastano, Algodão/Poliéster, Poliéster, Algodão",FALSE,CN,iguais,0,TRUE
16,5c85d47641ec3b55d4d14f79,Summer Fashion Flare Sleeve Plus Size T-shirt Off The Shoulder Cute Solid Color Top Long Sleeve Shirt,11,81,1000,0,3.92,426,204,94,62,21,45,"Summer,Plus Size,Shirt,Sleeve,cute,Long Sleeve,flare,Tops,topsamptshirt,Women's Fashion,Clothes for women,cuteshirt,Fashion,long sleeve t shirt,solidcolorshirt,Summer Fashion,loose t-shirt,T Shirts",Black,50,41,50,39381,4.066326401,3. Médio(1000),784,Preto,4. Alto Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Camisa, Camiseta, Top","Algodão/Poliéster, Algodão",FALSE,CN,retail_maior,636,FALSE
17,5cd3e795ebe403118bbc0f89,New Summer Women's Fashion Sleeveless Polka Dot V-neck Dress Strap Mini Backless Party Dress Casual Top Dresses,11,10,10000,0,3.72,2058,840,435,386,158,239,"Summer,fashion women,Fashion,Mini,Dresses,Tops,Polkas,V-neck,Mini dress,Women's Fashion,Party Dress,backless,party,Sexy Dress,Dress,sleeveless,polka dot,Casual,casual dress",red,50,34,50,6302,3.958425897,4. Alto(10000),744,Vermelho,4. Alto Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,08. G (L),"Vestido, Top","Poliéster/Elastano, Algodão/Poliéster, Algodão/Viscose, Poliéster, Algodão",FALSE,CN,price_maior,-9,FALSE
18,5b07a7c6e997b33c6f9947da,2018 New Fashion Women's Tops Sexy Strappy Sleeveless Lace Crop Tops,5,25,100000,1,3.83,17980,8290,3483,2951,1410,1846,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion",white,50,41,50,139223,3.933581377,6. Crítico(>20000),766,Branco,1. Baixo Impacto,Scarcity,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,06. P (S),"Blusa, Top","Poliéster/Viscose, Algodão/Poliéster, Renda, Renda/Poliéster, Poliéster/Elastano, Algodão",TRUE,CN,retail_maior,400,TRUE
19,5a8f82375e2ae101c8913122,5 Color Plus Size Summer New Women Fashion Ladies Casual Sleeveless Tops Summer Sexy Cutout Back Open Double Layer Tank Top(S-5XL),9,9,20000,0,3.82,5479,2456,1162,853,431,577,"Summer,Fashion,tunic,Women Vest,Tank,Tops,topsamptshirt,tank top,doublelayer,Women's Fashion,backless,sexy,Ladies,sleeveless,Casual,Women",blue,50,43,50,22089,4.081624338,5. Muito Alto(20000),764,Azul,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Camisa, Regata, Top, Túnica, Colete","Poliéster/Elastano, Algodão/Poliéster, Poliéster, Algodão, Algodão/Viscose",FALSE,CN,iguais,0,FALSE
20,5cf648ce373ac2069fd6317d,S~5XL Zipper Vest Tee New V-neck Sleeveless Plus Size Slim Fit Tank Tops Summer Solid Color Casual Tops Blouses,7,7,1000,0,3.67,214,87,36,49,17,25,"blouse,Summer,Vest,Plus Size,Tank,zippers,Tops,Slim Fit,tank top,Women's Fashion,V-neck,topsampblouse,sleeveless,women top,slim,Casual",red,7,41,50,3592,4.062360802,3. Médio(1000),734,Vermelho,4. Alto Impacto,Scarcity,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Blusa, Regata, Top","Poliéster/Viscose, Algodão/Poliéster, Algodão/Elastano, Algodão, Metal/Plástico",TRUE,CN,iguais,0,FALSE
21,57416238fc6f7d5d698f3c9f,Top Swimsuit Sets Fashion Swimwear Women Bikini 2016 Sexy Padded,11,10,5000,0,3.84,1183,506,274,216,81,106,"Fashion,Floral print,Tops,sexy bikini,Swimwear,Swimsuit,padded,Bikini,sexy,Women,Women's Fashion,Swimming",green,50,69,50,23609,4.25659706,4. Alto(10000),768,Verde,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Biquíni, Maiô/Biquíni, Moda Praia, Top","Nilon/Elastano, Algodão/Poliéster, Poliéster/Viscose, Poliéster/Borracha, Poliéster, Poliéster/Elastano, Algodão",FALSE,CN,price_maior,-9,FALSE
22,5c244b73e6a1c618296f73db,Summer Women Fashion Vest Solid Color Women Sleeveless Cotton T-shirt Lace Up Hollow Sexy Slim Tank Tops Tee,5,6,20000,0,3.6,3552,1437,632,610,358,515,"Summer,Vest,Fashion,Tank,Lace,Tops,slim,Women's Fashion,tank top,T Shirts,Lace Up,topsamptee,sexy,sleeveless,Women,Women Fashion,Cotton",black,11,41,50,12913,3.981336637,5. Muito Alto(20000),720,Preto,4. Alto Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Camisa, Camiseta, Regata, Top","Algodão, Algodão/Poliéster, Renda, Poliéster/Elastano, Algodão/Elastano",FALSE,CN,retail_maior,20,FALSE
23,5e1056784fff5f26e6f1745d,Dew Design Women Summer Fashion Sexy V-Neck Vest Button Spaghetti Strap Tank Top Cotton Sleeveless Tank Top Solid Color Camisole Casual Loose Tops Holiday Beach Wear Plus Size S-5XL 5 Colors,11,26,1000,0,3.38,72,27,11,11,8,15,"Women Vest,Vest,Fashion,buttontop,camisole,Summer,Spaghetti Strap,tank top,Women's Fashion,Plus Size,Design,V-neck,sleeveless,sexy,Spaghetti,summer tops,Cotton,Tank,Tops,Casual,Cotton Vest,Women,sleevelesstshirt,Casual Tops,Holiday,Beach,button",armygreen,2,51,50,4516,4.231842338,3. Médio(1000),676,Verde,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Top, Camisete, Colete, Camisa, Camiseta, Regata","Algodão/Poliéster, Plástico/Metal, Poliéster/Viscose, Algodão, Algodão/Viscose, Poliéster/Elastano",FALSE,CN,retail_maior,136,FALSE
24,5d15731024c17f6b8b9bd97a,Summer Fashion Women Short Sleeve U-neck Slim T-shirt Casual Style Cotton Pullover Women Fashion Tee Plus Size Blouse Tops Tee,7,6,5000,1,3.67,510,213,98,85,45,69,"blouse,Summer,Shorts,Sleeve,fashiontee,Tops,slim,short sleeves,Pullovers,Women's Fashion,Plus Size,Summer Fashion,Cotton,Fashion,Casual,T Shirts,Women",armygreen,50,138,50,96838,4.264658502,4. Alto(10000),734,Verde,3. Médio Impacto,Scarcity,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,07. M,"Blusa, Camiseta, Pulôver, Camisa, Shorts, Top","Poliéster/Viscose, Algodão/Poliéster, Algodão, Algodão/Elastano",TRUE,CN,price_maior,-14,TRUE
25,5c63adf7edc5d6528e8b1ca3,New Ladies Fashion Summer Tank Tops Sexy Backless Shirts Summer Vest Tops,5.71,5,1000,0,3.75,678,290,145,104,61,78,"Summer,Vest,Fashion,Tank,Shirt,backless top,summer shirt,topsamptshirt,tank top,Ladies,Sleeveless Shirt,backless,V-neck,solid color,sexy,summervest,Tops,Women Fashion,Ladies Fashion",black,19,43,50,80093,4.00669222,3. Médio(1000),750,Preto,4. Alto Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,04. PP (XXS),"Top, Camisa, Colete, Regata","Poliéster/Elastano, Algodão/Poliéster, Algodão",FALSE,CN,price_maior,-12,FALSE
26,5bed2a42bdf0421a30e62c6c,2018 Summer Fashion Women Casual Camouflage Tank Top Sleeveless O-neck Vest,9,32,1000,0,4.15,567,323,116,58,28,42,"Summer,Vest,Fashion,Tank,Slim T-shirt,camouflage,Tops,camouflagevest,tank top,Cool T-Shirts,Women's Fashion,sleeveless tops,Women,Casual T-Shirt,Casual Tops,Military,Casual,sleeveless,t",armygreen,50,41,50,9395,4.110058542,3. Médio(1000),830,Verde,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,07. M,"Colete, Camiseta, Top, Camisa, Regata","Algodão/Poliéster, Algodão, Algodão/Elastano",FALSE,CN,retail_maior,256,FALSE
27,5b5edbae1e222732845e655f,New Women Lace Crochet Bikini Cover Up Swimwear Bathing Suit Summer Swimwear,9,9,1000,0,4.03,216,105,48,39,12,12,"Summer,midsleevebeachblouse,summerswimsuit,womensummerswimwear,crochet,Cover,womenbeachblouse,Swimsuit,Bikini,beachblouse,Swimwear,bikinibeachcoverup,Women,women fashion dress,women bathing suit,budsilkblouse,Suits,Women's Fashion,Lace",no_color_specified,5,60,50,4298,4.229409027,3. Médio(1000),806,Não Informado,0. Não Informado,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,07. M,"Blusa, Biquíni, Saída de Praia, Vestido, Conjunto/Terno, Moda Praia, Maiô/Biquíni","Algodão/Poliéster, Poliéster/Viscose, Nilon/Elastano, Renda/Poliéster, Poliéster, 5.Misto/Crochê, Renda, Poliéster/Algodão, Algodão",FALSE,US,iguais,0,FALSE
28,5a4f2d8f5dcd0221008b2c36," Spring/Summer Fashion Women ""honey""Letter Print Sleeveless Shirt Sexy Embroidered Bodycon Vest Knitted Cotton Vest Casual Tank Top ",5.65,5,20000,0,4.29,2996,1781,628,374,104,109,"Women Vest,Vest,Fashion,yoga top,low cut,Women's Fashion,off shoulder,sportwear,sleeveless,sexy,Casual,sexyvest,knitted,Tank,Shirt,Tops,Slim Fit,beach wear,soildcolor,Women,Print,Lace Up,Cotton,tank top",white,50,43,50,40943,4.017487727,5. Muito Alto(20000),858,Branco,1. Baixo Impacto,Scarcity,1,FALSE,TRUE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Moda Praia, Colete, Camisa, Regata, Top","Algodão/Poliéster, Nilon/Elastano, Algodão, Renda, Poliéster/Elastano, Poliéster, Algodão/Elastano",TRUE,CN,price_maior,-12,FALSE
29,5e5e09065b03ef0b420f333f,2020 New Fashion Summer Women Sleeveless Black White Pink Scalloped Trim Deep V Neck Lace Vest Solid Slim Tank Tops Tee,1.74,2,100,1,4.25,12,7,3,1,0,1,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white",pink,50,41,50,18138,3.831513949,2. Baixo(100),850,Rosa,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,05. P (XS),"Top, Colete, Regata","Algodão/Poliéster, Poliéster/Elastano, Renda, Renda/Poliéster, Poliéster/Renda, Algodão/Elastano, Algodão",FALSE,CN,retail_maior,15,TRUE
30,5cc0049aca0c3b3d01a87964,4 Color Women's Fashion Casual Solid Color tops Sleeveless Sheath Summer Fashion Plus Size Brief Pullover Strapless Short Cotton Tunic Top Crop Top,5.65,6,1000,0,4.06,301,156,70,34,18,23,"Summer,strapless,Plus Size,tunic,tunic top,Tops,Shorts,slim fit shirt,Women's Fashion,Fashion,topsamptee,women tank top,solid color,sleeveless,Pullovers,Casual,Cotton",white,50,54,50,7034,4.060278647,3. Médio(1000),812,Branco,1. Baixo Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,10. XG (2XL),"Pulôver, Camisa, Shorts, Regata, Top, Túnica","Algodão/Poliéster, Algodão, Algodão/Elastano, Poliéster/Elastano, Algodão/Viscose",FALSE,CN,retail_maior,6,FALSE
31,5c9d920da94960780239d468,HODMEXI Fashion Love Graffiti Print Summer Dress Short Sleeve Party Dresses Plus Size Women Clothing Vestidos,14,76,100,0,4.06,31,17,4,6,3,1,"Summer,Plus Size,Love,plus size dress,Dress,short sleeves,Women's Fashion,Party Dress,Graffiti,uniquedres,Clothing,Bodycon Dress,casual dress,Shorts,Sleeve,summer dress,Cotton Dress,Women Clothing,print dress,Print,party,Short Sleeved,Women,Fashion",no_color_specified,50,36,50,51369,3.9682688,2. Baixo(100),812,Não Informado,0. Não Informado,Scarcity,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Vestido, Camiseta, Shorts","Poliéster/Elastano, Algodão/Poliéster, Algodão/Viscose, Algodão, Poliéster, Poliéster/Viscose",TRUE,CN,retail_maior,443,FALSE
32,5c9ee457c233fd74ef4c8a84,Sweet Beading Cami Tank Tops for Women Spaghetti Strap Summer Vest Tops,5.65,6,1000,1,4.37,217,137,42,24,9,5,"tank top women,Vest,Beading,Cotton Shirt,camisole,Women Vest,Sweets,Tops,Spaghetti Strap,Women's Fashion,Spaghetti,Cami,Summer,Bandages,Tank,Women,Cool Tees,Shirt",black,10,38,50,44837,4.065905391,3. Médio(1000),874,Preto,4. Alto Impacto,None,1,FALSE,TRUE,FALSE,1,Standard Delivery,2. Barato,2. Normal,04. PP (XXS),"Camisete, Camiseta, Camisa, Regata, Top, Colete","Poliéster/Elastano, Metal/Plástico, Algodão/Poliéster, Poliéster/Viscose, Algodão",FALSE,CN,retail_maior,6,TRUE
33,5dc4488112f5e91a9d4bb52e,Summer Women Sling Dresses Casual Backless Dress Ladies Floral Printed Dress Swallowtail Dresses Slim Beach Dress,8,7,1000,0,3.81,443,215,76,65,29,58,"Summer,camisole,chiffon,Dress,slim,beach dress,Ladies,Women's Fashion,backless,printed,Floral,Robes,Beach,Casual,Women",khaki,4,46,50,3460,3.870809249,3. Médio(1000),762,Tons Neutros,2. Baixo a Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Vestido, Camisete, Robe","Poliéster/Elastano, Algodão/Poliéster, Algodão/Viscose, Poliéster/Viscose, Poliéster, Poliéster/Algodão, Algodão/Elastano, Algodão",FALSE,CN,price_maior,-12,FALSE
34,5b582d5ec4561c4f6b53feeb,Solid Color T-shirts Bandeau Yoga Vest Off Shoulder Women Strapless Bra Tube Crop Top,2.66,3,5000,0,3.44,1136,418,187,201,133,197,"Vest,Fashion,Yoga,SEXY CROP TOP,girl bra,Tops,strapless,topbra,Tee,Women's Fashion,straplesstanktop,T Shirts,Casual,Bras,Women",black,50,22,50,223392,4.306362806,4. Alto(10000),688,Preto,4. Alto Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,07. M,"Sutiã, Cropped, Camisa, Top, Camiseta","Nilon/Elastano, Algodão/Poliéster, Poliéster/Elastano, Algodão",FALSE,CN,retail_maior,13,FALSE
35,5cae1d6c836ecb39e57e9e80,Women Fashion Vest Plus Size Loose Casual Pure Color Lace Sleeveless Camisole Summer Tank Tops,9,8,10000,0,3.8,1231,555,240,211,87,138,"Summer,Vest,Plus Size,Tank,Lace,Tops,Loose,beach wear,Women's Fashion,Pure Color,sleeveless,Fashion,Casual,Women Fashion,Women",yellow,50,45,50,10600,3.86754717,4. Alto(10000),760,Laranja/Amarelo,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Shipping,2. Barato,2. Normal,06. P (S),"Moda Praia, Top","Algodão/Poliéster, Nilon/Elastano, Renda, Algodão",FALSE,CN,price_maior,-11,FALSE
